Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle ;Familia;Clase ;Costo;Precio Lista 
CG81850;Cartera Chenson Cruzad Cg81850;Cartera Chenson Cruzad Cg81850 Color: Negro;Color: Negro;52;52001;76000;123000
CG82724;Cartera Chenson Cruzad Cg82407;Cartera Chenson Cruzad Cg82407 Color: Negro - Piel - Marron ;Color: Negro - Piel - Marron ;52;52001;110000;179000
CG81953;Mochila Tramada Con Rayas Chenson;Mochila Tramada Con Rayas Chenson Color: Negro - Gris - Marron Claro ;Color: Negro - Gris - Marron Claro ;52;52001;142000;230000
2515076;Billetera Chenson Tipo V­bora;Billetera Chenson Tipo V­bora Color: Negro;Color: Negro;52;52001;39000;63000
1515080;Necessaire Chenson 15080;Necessaire Chenson 15080 Color: Negro;Color: Negro;52;52001;42000;68000
CG82414;Cartera Chenson Cg82414;Cartera Chenson Cg82414 Color: Negro - Rojo - Marron ;Color: Negro - Rojo - Marron ;52;52001;158000;257000
CG81965;Cartera Chenson Cg81965;Cartera Chenson Cg81965 Color: Azul ;Color: Azul ;52;52001;142000;230000
1515081;Neceser Chenson 1515081;Neceser Chenson 1515081 Color: Negro - Rojo - Marron - Verde - Celeste;Color: Negro - Rojo - Marron - Verde - Celeste;52;52001;36000;58000
CG82591;Mochilita Chenson Cg82591 ;Mochilita Chenson Cg82591  Color: Negro - Azul - Marron Oscuro - Vino - Marron - Rojo ;Color: Negro - Azul - Marron Oscuro - Vino - Marron - Rojo ;52;52001;86000;135000
CG82642;Bolso Chenson Cg82642;Bolso Chenson Cg82642 Color: Negro - Marron ;Color: Negro - Marron ;52;52001;198000;315000
CG82407;Cartera Chenson Cruzad Cg82407;Cartera Chenson Cruzad Cg82407 Color: Rosa - Negro - Rojo ;Color: Rosa - Negro - Rojo ;52;52001;122000;225000
CG82926;Mochila Con Rayas Chenson;Mochila Con Rayas Chenson Color: Negro - Azul - Rojo;Color: Negro - Azul - Rojo;52;52001;137000;220000
2515129;Billetera Chenson Tipo Vibora;Billetera Chenson Tipo Vibora Color: Negro - Marron ;Color: Negro - Marron ;52;52001;53000;85000
CG82407;Cartera Chenson Tipo V;Cartera Chenson Tipo V Color: Rosa - Negro - Rojo ;Color: Rosa - Negro - Rojo ;52;52001;122000;195000
CG81737;Necessaire Chenson;Necessaire Chenson Color: Negro - Marron Claro - Amarillo - Marron Oscuro;Color: Negro - Marron Claro - Amarillo - Marron Oscuro;52;52001;54000;85000
2515172;Billetera Chenson Con Letras;Billetera Chenson Con Letras Color: Marron oscuro - Crema - Negro  - Rosado ;Color: Marron oscuro - Crema - Negro  - Rosado ;52;52001;35000;55000
4183118;Bolso Gorett;Bolso Gorett Color: Negro - Rosado ;Color: Negro - Rosado ;52;52001;186000;225000
CG82007;Mochilita Chenson De Colores;Mochilita Chenson De Colores Color: Negro - Azul - Verde - Rojo - Marron;Color: Negro - Azul - Verde - Rojo - Marron;52;52001;84000;135000
CG82197;Cartera Negra Chenson Cg82197;Cartera Negra Chenson Cg82197 Color: Negro - Marron Claro - Crema - Marron;Color: Negro - Marron Claro - Crema - Marron;52;52001;137000;220000
6581409;Bolso Chenson 6581409;Bolso Chenson 6581409 Color: Marron - Marron Oscuro ;Color: Marron - Marron Oscuro ;52;52001;68000;110000
2510414;Billetera Chenson Marron ;Billetera Chenson Marron  Color: Marron ;Color: Marron ;52;52001;36000;55000
