codigo;Nombre ;descripcion;detalle;Familia;Clase ;costo;lista
1132618;"TELEVISOR VIZZION 32"" SMART";"TELEVISOR VIZZION 32"" LE32E10 LED SMART - Wi-Fi HDMI / USB +CONVERSOR DIGITAL CONVERSOR DIGITAL";"TELEVISOR VIZZION 32"" LE32E10 LED SMART - Wi-Fi HDMI / USB +CONVERSOR DIGITAL CONVERSOR DIGITAL";9; 9.001   ;1.517.000; 2.124.000   
1132601;"TELEVISOR VIZZION 65"" SMART 4K";"TELEVISOR VIZZION 65"" LE65Q21 LED SMART 4K Ultra HD Wi-Fi HDMI / USB+CONVERSOR DIGITAL";"TELEVISOR VIZZION 65"" LE65Q21 LED SMART 4K Ultra HD Wi-Fi HDMI / USB+CONVERSOR DIGITAL";9; 9.001   ;5.234.000; 7.328.000   
1132595;"TELEVISOR VIZZION 75"" SMART 4K";"TELEVISOR VIZZION 75"" LE75U20 LED SMART 4K Ultra HD Wi-Fi / HDMI / USB +CONVERSOR DIGITAL";"TELEVISOR VIZZION 75"" LE75U20 LED SMART 4K Ultra HD Wi-Fi / HDMI / USB +CONVERSOR DIGITAL";9; 9.001   ;8.324.000; 11.654.000   
1007862;"TELEVISOR AIWA 32"" SMART ";"TELEVISOR AIWA 32"" AW32B4SM LED SMART HDMI / USB / Puerto Ethernet+CONVERSOR DIGITALN";"TELEVISOR AIWA 32"" AW32B4SM LED SMART HDMI / USB / Puerto Ethernet+CONVERSOR DIGITALN";9; 9.001   ;1.566.000; 2.193.000   
1156607;"TELEVISOR AIWA 42"" SMART ";"TELEVISOR AIWA 42"" AW42B4SM FULL HD SMART Wi-Fi HDMI / USB+CONVERSOR DIGITAL";"TELEVISOR AIWA 42"" AW42B4SM FULL HD SMART Wi-Fi HDMI / USB+CONVERSOR DIGITAL";9; 9.001   ;2.300.000; 3.220.000   
1007879;"TELEVISOR AIWA 50""  SMART 4K";"TELEVISOR AIWA 50"" AW50B4K LED SMART 4K Ultra HD Wi-Fi / HDMI / USB + CONVERSOR DIGITAL";"TELEVISOR AIWA 50"" AW50B4K LED SMART 4K Ultra HD Wi-Fi / HDMI / USB + CONVERSOR DIGITAL";9; 9.001   ;3.041.000; 4.258.000   
1142822;"TELEVISOR AIWA 55""  SMART 4K ";"TELEVISOR AIWA 55"" AW55B4KF LED SMART 4K Ultra HD Wi-Fi / HDMI / USB + CONVERSOR DIGITAL";"TELEVISOR AIWA 55"" AW55B4KF LED SMART 4K Ultra HD Wi-Fi / HDMI / USB + CONVERSOR DIGITAL";9; 9.001   ;3.585.000; 5.019.000   
1009538;"TELEVISOR AIWA 58"" SMART 4K ";"TELEVISOR AIWA 58"" AW58B4K LED SMART 4K HDMI / USB / Puerto Ethernet + CONVERSOR DIGITAL";"TELEVISOR AIWA 58"" AW58B4K LED SMART 4K HDMI / USB / Puerto Ethernet + CONVERSOR DIGITAL";9; 9.001   ;3.783.000; 5.297.000   
1007893;"TELEVISOR AIWA 65"" SMART 4K ";"TELEVISOR AIWA 65"" AW65B4K LED SMART 4K HDMI / USB / Puerto Ethernet+ CONVERSOR DIGITAL";"TELEVISOR AIWA 65"" AW65B4K LED SMART 4K HDMI / USB / Puerto Ethernet+ CONVERSOR DIGITAL";9; 9.001   ;4.937.000; 6.912.000   
1156614;"TELEVISOR AIWA 75"" SMART 4K ";"TELEVISOR AIWA 75"" AW75B4K SMAR 4K ULTRA HDMI / USB / Puerto Ethernet+ CONVERSOR DIGITAL";"TELEVISOR AIWA 75"" AW75B4K SMAR 4K ULTRA HDMI / USB / Puerto Ethernet+ CONVERSOR DIGITAL";9; 9.001   ;7.821.000; 10.950.000   
997959;"TELEVISOR BAK 17"" LED ";"TELEVISOR BAK 17"" BK-1750 LED ISDBT+ VGA +CONVERSOR DIGITALNVERSOR DIGITAL";"TELEVISOR BAK 17"" BK-1750 LED ISDBT+ VGA +CONVERSOR DIGITALNVERSOR DIGITAL";9; 9.001   ;577.000; 808.000   
1161526;"TELEVISOR CONVERSOR DIGITALBY 42"" SMART";"TELEVISOR COBY 42"" CY3448-42SMS LED SMART Full HD Wi-Fi HDMI / USB  +CONVERSOR DIGITAL";"TELEVISOR COBY 42"" CY3448-42SMS LED SMART Full HD Wi-Fi HDMI / USB  +CONVERSOR DIGITAL";9; 9.001   ;2.184.000; 3.058.000   
1158182;"TELEVISOR CONVERSOR DIGITALBY 55"" SMART 4K";"TELEVISOR COBY 55"" CY3359-554KS SMAR 4K+TECLADO+4K Ultra HD Wi-Fi / HDMI / USB + CONVERSOR DIGITAL";"TELEVISOR COBY 55"" CY3359-554KS SMAR 4K+TECLADO+4K Ultra HD Wi-Fi / HDMI / USB + CONVERSOR DIGITAL";9; 9.001   ;3.462.000; 4.847.000   
1158199;"TELEVISOR CONVERSOR DIGITALBY 65"" SMAR 4K";"TELEVISOR COBY 65"" CY3359-654KS SMAR 4K+TECLADO+Ultra HD Wi-Fi / HDMI / USB con Conversor Digital";"TELEVISOR COBY 65"" CY3359-654KS SMAR 4K+TECLADO+Ultra HD Wi-Fi / HDMI / USB con Conversor Digital";9; 9.001   ;4.937.000; 6.912.000   
907521;"TELEVISOR HAIER 55"" SMART 4K";"TELEVISOR HAIER 55"" LE55Q9000DUA SMART 4K Curvo Ultra HD con HDMI / USB + Conversor Digital";"TELEVISOR HAIER 55"" LE55Q9000DUA SMART 4K Curvo Ultra HD con HDMI / USB + Conversor Digital";9; 9.001   ;3.462.000; 4.847.000   
1155518;"TELEVISOR HYUNDAI 24"" LED ";"TELEVISOR HYUNDAI 24""HY24DTHA LED HD HDMI / VGA / USB con Conversor Digital";"TELEVISOR HYUNDAI 24""HY24DTHA LED HD HDMI / VGA / USB con Conversor Digital";9; 9.001   ;783.000; 1.097.000   
1101911;"TELEVISOR HYUNDAI 32"" SMART";"TELEVISOR HYUNDAI 32""HY32ATHC LED SMART HDMI / USB / VGA / con Conversor Digital";"TELEVISOR HYUNDAI 32""HY32ATHC LED SMART HDMI / USB / VGA / con Conversor Digital";9; 9.001   ;1.319.000; 1.847.000   
1093933;"TELEVISOR HYUNDAI 32""LED";"TELEVISOR HYUNDAI 32""HY32DTHC LED HD HDMI / VGA / USB con Conversor Digital";"TELEVISOR HYUNDAI 32""HY32DTHC LED HD HDMI / VGA / USB con Conversor Digital";9; 9.001   ;1.113.000; 1.559.000   
956703;"TELEVISOR HYUNDAI 40"" SMART ";"TELEVISOR HYUNDAI 40""HY40NTFB LED SMART LINUX/Full HD Wi-Fi / HDMI / USB con Conversor Digital";"TELEVISOR HYUNDAI 40""HY40NTFB LED SMART LINUX/Full HD Wi-Fi / HDMI / USB con Conversor Digital";9; 9.001   ;2.077.000; 2.908.000   
957618;"TELEVISOR HYUNDAI 50"" SMART";"TELEVISOR HYUNDAI 50""HY50ATFA LED SMART ANDROID+CONVERSOR DIGITAL";"TELEVISOR HYUNDAI 50""HY50ATFA LED SMART ANDROID+CONVERSOR DIGITAL";9; 9.001   ;2.720.000; 3.808.000   
956697;"TELEVISOR HYUNDAI 50"" SMART 4K";"TELEVISOR HYUNDAI 50""HY50NTUB LED SMART LINUX+4K+Ultra HD Wi-Fi / HMDI / USB con Conversor Digital";"TELEVISOR HYUNDAI 50""HY50NTUB LED SMART LINUX+4K+Ultra HD Wi-Fi / HMDI / USB con Conversor Digital";9; 9.001   ;3.132.000; 4.385.000   
956741;"TELEVISOR HYUNDAI 55"" SMART 4K";"TELEVISOR HYUNDAI 55""HY55NTUB LED SMART LINUX+4K Ultra HD Wi-Fi / HDMI / USB con Conversor Digital";"TELEVISOR HYUNDAI 55""HY55NTUB LED SMART LINUX+4K Ultra HD Wi-Fi / HDMI / USB con Conversor Digital";9; 9.001   ;3.668.000; 5.136.000   
1084245;"TELEVISOR LG 32"" SMART";"TELEVISOR LG 32"" 32LM630BPSB SMART Bluetooth HDMI / USB con Convertidor Digital";"TELEVISOR LG 32"" 32LM630BPSB SMART Bluetooth HDMI / USB con Convertidor Digital";9; 9.001   ;1.550.000; 2.170.000   
1112917;"TELEVISOR LG 43"" SMART 4K";"TELEVISOR LG 43"" 43UM7100PSA SMART 4K-Ultra HD Bluetooth HDMI / USB con Conversor Digital";"TELEVISOR LG 43"" 43UM7100PSA SMART 4K-Ultra HD Bluetooth HDMI / USB con Conversor Digital";9; 9.001   ;2.638.000; 3.694.000   
1112924;"TELEVISOR LG 49"" SMART 4K";"TELEVISOR LG 49"" 49UM7100PSA SMART 4K-Ultra HD Bluetooth HDMI / USB con Conversor Digital";"TELEVISOR LG 49"" 49UM7100PSA SMART 4K-Ultra HD Bluetooth HDMI / USB con Conversor Digital";9; 9.001   ;3.421.000; 4.790.000   
1144390;"TELEVISOR LG 50"" SMART 4K";"TELEVISOR LG 50"" 50UN7310PSC SMART 4K Ultra HD Bluetooth HDMI / USB con Conversor Digital";"TELEVISOR LG 50"" 50UN7310PSC SMART 4K Ultra HD Bluetooth HDMI / USB con Conversor Digital";9; 9.001   ;4.113.000; 5.759.000   
1094398;"TELEVISOR LG 55"" SMART 4K";"TELEVISOR LG 55"" 55UM7100PSA SMART Ultra HD Wi-Fi / Bluetooth con Conversor Digital";"TELEVISOR LG 55"" 55UM7100PSA SMART Ultra HD Wi-Fi / Bluetooth con Conversor Digital";9; 9.001   ;4.986.000; 6.981.000   
1085884;"TELEVISOR LG 65"" SMARTELEVISOR 4K";"TELEVISOR LG 65"" 65UM7100PSA SMART Bluetooth HDMI / USB con Conversor Digital";"TELEVISOR LG 65"" 65UM7100PSA SMART Bluetooth HDMI / USB con Conversor Digital";9; 9.001   ;7.088.000; 9.924.000   
1163056;"TELEVISOR MTEK 24"" LED";"TELEVISOR MTEK 24"" MK24F1D LED Full HD USB / HDMI con Conversor Digital";"TELEVISOR MTEK 24"" MK24F1D LED Full HD USB / HDMI con Conversor Digital";9; 9.001   ;783.000; 1.097.000   
897730;"TELEVISOR MTEK 50"" SMART 4K";"TELEVISOR MTEK 50"" MK50FU7 LED 4K SMART ANDROID+CONVERSOR DIGITAL";"TELEVISOR MTEK 50"" MK50FU7 LED 4K SMART ANDROID+CONVERSOR DIGITAL";9; 9.001   ;2.720.000; 3.808.000   
878210;"TELEVISOR MTEK 65"" SMART 4K";"TELEVISOR MTEK 65"" MK65FU7 LED 4K SMART ANDROID+CONVERSOR DIGITAL";"TELEVISOR MTEK 65"" MK65FU7 LED 4K SMART ANDROID+CONVERSOR DIGITAL";9; 9.001   ;4.657.000; 6.520.000   
1073041;"TELEVISOR PHILIPS 65"" SMART";"TELEVISOR PHILIPS 65""65PUG6412/77  SMART 4K Ultra HD Wi-Fi / Convertidor Digital";"TELEVISOR PHILIPS 65""65PUG6412/77  SMART 4K Ultra HD Wi-Fi / Convertidor Digital";9; 9.001   ;6.428.000; 9.000.000   
552974;"TELEVISOR PROSPER 5.5"" PTV5 RADIO ";"TELEVISOR PROSPER 5.5"" PTV5 RADIO AM/FM PORTATIL";"TELEVISOR PROSPER 5.5"" PTV5 RADIO AM/FM PORTATIL";9; 9.001   ;91.000; 128.000   
1135541;"TELEVISOR SAMSUNG 32""SMART";"TELEVISOR SAMSUNG 32""UN32T4300AG SMART HD Wi-Fi HDMI / USB con Conversor Digital";"TELEVISOR SAMSUNG 32""UN32T4300AG SMART HD Wi-Fi HDMI / USB con Conversor Digital";9; 9.001   ;1.661.000; 2.326.000   
1068603;"TELEVISOR SAMSUNG 40"" SMART";"TELEVISOR SAMSUNG 40""UN40J6400AG SMART Full HD 3D HDMI / USB / Convertidor Digital";"TELEVISOR SAMSUNG 40""UN40J6400AG SMART Full HD 3D HDMI / USB / Convertidor Digital";9; 9.001   ;2.555.000; 3.577.000   
1150520;"TELEVISOR SAMSUNG 43"" SMART ";"TELEVISOR SAMSUNG 43""UN43T5202AG SMART Full HD HDMI / USB con Conversor Digital";"TELEVISOR SAMSUNG 43""UN43T5202AG SMART Full HD HDMI / USB con Conversor Digital";9; 9.001   ;2.572.000; 3.601.000   
1144215;"TELEVISOR SAMSUNG 43""SMART 4K";"TELEVISOR SAMSUNG 43""UN43TU7090G SMART 4K Ultra HD con Conversor Digital";"TELEVISOR SAMSUNG 43""UN43TU7090G SMART 4K Ultra HD con Conversor Digital";9; 9.001   ;2.926.000; 4.097.000   
1068610;"TELEVISOR SAMSUNG 49"" CURVED SMART";"TELEVISOR SAMSUNG 49""UN49NU7300G CURVED SMART 4K Ultra HD HDMI / USB / ISDB-T";"TELEVISOR SAMSUNG 49""UN49NU7300G CURVED SMART 4K Ultra HD HDMI / USB / ISDB-T";9; 9.001   ;4.203.000; 5.885.000   
1068627;"TELEVISOR SAMSUNG 50"" SMART";"TELEVISOR SAMSUNG 50""UN50RU7100G SMART Ultra HD HDMI / USB / Convertidor Digital";"TELEVISOR SAMSUNG 50""UN50RU7100G SMART Ultra HD HDMI / USB / Convertidor Digital";9; 9.001   ;3.775.000; 5.285.000   
1161571;"TELEVISOR SAMSUNG 55""QLED";"TELEVISOR SAMSUNG 55""QN55Q60TAG QLED+CX Wi-Fi / Bluetooth + Soundbar R450 de 200 watts RMS";"TELEVISOR SAMSUNG 55""QN55Q60TAG QLED+CX Wi-Fi / Bluetooth + Soundbar R450 de 200 watts RMS";9; 9.001   ;7.005.000; 9.807.000   
855815;"TELEVISOR SAMSUNG 55"" QSMART 4K";"TELEVISOR SAMSUNG 55""QN55Q7FAMP QLED SMART 4K HDMI / USB / Wi-Fi Bivolt";"TELEVISOR SAMSUNG 55""QN55Q7FAMP QLED SMART 4K HDMI / USB / Wi-Fi Bivolt";9; 9.001   ;13.269.000; 18.577.000   
1162714;"TELEVISOR SAMSUNG 58"" SMART 4K";"TELEVISOR SAMSUNG 58""UN58TU8000P UHD SMAR 4K Ultra HD HDMI / USB con Conversor Digital";"TELEVISOR SAMSUNG 58""UN58TU8000P UHD SMAR 4K Ultra HD HDMI / USB con Conversor Digital";9; 9.001   ;5.192.000; 7.269.000   
691093;"TELEVISOR SONY 32"" SMART";"TELEVISOR SONY 32"" BRAVIA 32W605D (RISCADO)SMART Full HD Wi-Fi / HDMI con Convertidor Digital";"TELEVISOR SONY 32"" BRAVIA 32W605D (RISCADO)SMART Full HD Wi-Fi / HDMI con Convertidor Digital";9; 9.001   ;1.830.000; 2.562.000   
