Codigo Proveedor ;Nombre ;Descripcion Larga ;Detalle ;Familia;Clase ;Costo ;Precio Lista
MAE48;Aro Colgante de Corazones ;Aro Colgante de Corazones ;"Hermoso aro colgante de Corazones
Color: Oro
Material: Acero Quirurgico ";52;52005;48000;77000
MAROE33;Aro Colgante de Circulos ;Aro Colgante de Circulos ;"Hermoso aro colgante, elegante e ideal para cualquier ocasion especial
Color: Oro 
Material: Acero quirurgico ";52;52005;55000;88000
MAE55;Aro Colgante de Estrellas ;Aro Colgante de Estrellas ;"Hermoso Aro colgantes de estrellas elegante e ideal para cualquier ocasion 
Color Oro
Material: Acero Quirurgico ";52;52005;55000;88000
MCAE85;Gargantilla con Brillantes;Gargantilla con Brillantes;"Hermosa Gargantilla con detalles brillantes 
Color Oro
Material: Acero quirurgico ";52;52005;85000;136000
MCAE164;Gargantilla Corazon ;Gargantilla Corazon ;"Hermosa gargantilla con perlas que simbolizan la modestia, pureza y la union. Con un bello dije de Corazon 
Color Oro
Material Acero Quirurgico ";52;52005;120000;192000
MPUL55;Pulsera con Dije ;Pulsera con Dije ;"Tenemos hermosas pulseras con dijes 
Color Plata
Material Acero Quirurgico ";52;52005;110000;176000
MCADI56;Cadena Perlas de Cruz;Cadena Perlas de Cruz;"Hermosa cadena con perlas, dadole esos detalles ideales para sumarle elegancia a tu look diario
Color Oro
Material Acero Quirurgico ";52;52005;55000;88000
MPUL13;Pulsera de Mariposa ;Pulsera de Mariposa ;"Pulsera preciosa con detalles en color oro, hermoso dije de mariposas y flores
Color Negro
Material Macrame ";52;52005;35000;56000
MSET85;Juego Cadena + Aro Perlas ;Juego Cadena + Aro Perlas ;"Juego de Cadena de perlas con dije del Santisimo, y un par de aros hermosos para acompa¤ar. Excelente combinacion 
Color Perlas, acompa¤ado por el aro de color oro";52;52005;85000;136000
MCADI45;Cadena Cuadruple ;Cadena Cuadruple ;"Hermosa joya con varias cadenas en una y dijes preciosos
Color Bronce
Material Acero Quirurgico
";52;52005;45000;72000
MSET15;Juego Cadena + Aro Pandora ;Juego Cadena + Aro Pandora ;"Bellisimo conjunto de Cadena mas aro con Dije Pandora 
Color Oro
Material Acero quirurgico ";52;52005;45000;72000
MCONJ79;Juego Cadena + Aro Argolla;Juego Cadena + Aro Argolla;"Hermoso juego de Cadena mas aro con argolla y peque¤os detalles en nacar 
Color Oro
Material Acero quirurgico ";52;52005;40000;64000
MCADI35;Juego Cadena + Aro Oso ;Juego Cadena + Aro Oso ;"Hermosa Cadea con dije del Arbol de la vida, aro con dise¤o de oso
Color: Tenemos en rosa y tambien en rojo, los dijes son de color Oro";52;52005;120000;192000
MAR10;Aro Colgante Infinito ;Aro Colgante Infinito ;"Hermoso aro colgante con dije de infinito y detalles brillantes
Color Oro 
Material Acero Quirurgico ";52;52005;40000;64000
MAR10-1;Aro Colgante Flor ;Aro Colgante Flor ;"Hermoso Aro colgante con disenho de flor , elegante e ideal para la ocasion especial
Color oro
Material Acero quirurgico ";52;52005;40000;64000
MCADI56;Cadena Perlas Candado ;Cadena Perlas Candado ;"Hermosa cadena de perlas con dije de candado
Color Oro
Sabias que el cantado simboliza larga vida, buena salud y felicidad  ";52;52005;55000;88000
MCADI8;Cadena Doble Elizabeth II;Cadena Doble Elizabeth II;"Cadena doble con un hermoso dije de Elizabeth II
Color Bronce 
Material: Acero quirurgico ";52;52005;30000;48000
